Salary,NBA_Country,Age,Tm,MP,PER,TS%,3PAr,FTr,STL%,BLK%,USG%
815615,China,22,HOU,87,0.6,0.303,0.593,0.37,1.1,6.8,19.5
3477600,Georgia,33,GSW,937,16.8,0.608,0.004,0.337,1.9,1.3,17.2
12307692,USA,36,SAC,1508,17.3,0.529,0.193,0.14,1.4,0.6,27.6
3202217,USA,22,CHI,656,14.6,0.499,0.346,0.301,1.8,0.5,29.5
3057240,USA,20,POR,979,8.2,0.487,0.387,0.146,0.8,2.5,15.5
1312611,USA,24,DAL,2238,11.5,0.543,0.489,0.141,1.4,0.3,17
74159,USA,30,BOS,7,-4.9,0,0.667,0,7.2,0,19.2
46080,Canada,23,MEM,118,0.9,0.315,0.333,0.214,2.6,2.4,21.7
12016854,USA,30,DEN,2200,11.1,0.543,0.39,0.186,0.9,1.4,14.6
1435750,Spain,23,TOT,430,20.6,0.592,0.075,0.555,1.8,2.8,21.7
1577230,USA,27,TOT,428,19.2,0.671,0.017,0.455,1,4.3,16.6
3704160,USA,24,SAC,1943,17.1,0.523,0.017,0.32,1.9,3.1,21.6
3533333,USA,27,DEN,2530,15.9,0.557,0.409,0.221,1.6,1.6,20.5
17884176,USA,31,DAL,2131,11.4,0.541,0.577,0.145,1.8,0.7,17.6
5881260,USA,30,LAC,1422,9.8,0.512,0.484,0.157,2.5,3.6,13
1050000,USA,23,ORL,902,7.6,0.464,0.205,0.215,1.7,1,11.8
1312611,USA,23,MEM,692,11.8,0.551,0.454,0.219,1.3,0.7,22.7
6270000,USA,30,MIA,1962,12.1,0.582,0.83,0.113,1.3,0.3,17.3
1874400,USA,21,POR,29,17,0.73,0.143,1.286,0,0,19.6
50000,USA,23,MEM,7,35.9,0.6,0,0,0,13.4,38.5
8000000,USA,41,SAC,971,10.6,0.519,0.584,0.126,2.1,2.5,14.7
21000000,USA,25,IND,2471,23.1,0.576,0.324,0.28,3.4,2,30.2
50000,USA,25,LAL,45,-1.8,0.255,0.4,0.4,1.1,0,8.4
2328652,USA,37,MIA,72,1.8,0.252,0.533,0.133,0,2.4,11.2
1471382,USA,21,MIN,1404,14.1,0.574,0.372,0.247,3.2,0.4,12.7
13000000,USA,35,PHO,1151,14.3,0.657,0,0.503,0.7,1.9,10.6
3290000,USA,28,MEM,1607,21.2,0.561,0.354,0.258,1.8,1,28.5
1709538,USA,28,TOT,1025,15.9,0.585,0.088,0.241,0.7,2.5,17
1312611,USA,22,PHO,1563,9.7,0.459,0.267,0.183,2,0.3,18.2
1579440,USA,21,DEN,2,0,,,,0,0,0
5881260,USA,25,MIA,1964,13,0.55,0.46,0.186,1.4,1.4,18.6
1524305,Canada,23,LAL,584,10.4,0.459,0.265,0.108,1.9,1.4,16.3
815615,USA,21,ATL,897,9.3,0.478,0.52,0.157,0.9,0.4,20
679919,USA,23,ATL,518,13,0.567,0.586,0.138,0.8,0.7,14.8
1471382,USA,23,TOT,307,15.2,0.544,0.349,0.275,3.2,1.1,20.1
3408520,USA,26,PHO,1609,10,0.585,0.798,0.112,0.7,0.3,17.2
16400000,Canada,26,CLE,1017,13.7,0.573,0,0.349,0.8,1.4,12.5
46080,USA,27,IND,1,0,,,,0,0,0
2441400,USA,22,DEN,1366,18,0.589,0.398,0.267,1.1,2.1,21.2
784160,USA,25,NYK,648,22.8,0.576,0.262,0.133,1.5,0.5,25.9
9125000,USA,30,TOT,1085,14.8,0.563,0.089,0.275,1.2,1.5,16.5
7420912,USA,32,HOU,2179,12.1,0.573,0.713,0.143,2.1,0.5,14.4
1312611,USA,24,CHO,1050,9,0.553,0.439,0.267,1.5,0.2,11.3
148318,USA,27,LAL,172,9.8,0.562,0.719,0.14,0.8,1.9,15.9
9821429,USA,26,MIL,1955,8.4,0.584,0.63,0.116,1.2,1.1,10.5
15453126,France,35,SAS,1020,13.1,0.499,0.094,0.198,1.4,0.1,20.6
1414920,USA,20,UTA,29,9.5,0.337,0.091,0.182,0,0,18.5
2116955,USA,36,NOP,273,8.7,0.514,0.132,0.231,1.9,0.9,18.9
3000000,Czech Republic,26,WAS,1535,15.4,0.618,0.265,0.27,1.6,0.8,13.7
16000000,USA,25,TOT,2546,17.4,0.569,0.369,0.178,1.3,1.1,23.2
1386600,France,22,PHI,807,7,0.511,0.592,0.217,0.7,0.5,17.5
15280000,Russia,31,BRK,339,10.2,0.589,0.212,0.294,0.7,2.4,16.2
16500000,USA,25,NYK,1856,14.4,0.531,0.476,0.209,1.6,0.5,23.8
2000000,USA,27,WAS,807,11.2,0.477,0.335,0.183,2.6,0.8,12.7
2684160,South Sudan,20,MIL,1205,10.5,0.502,0.326,0.293,1.6,3.7,14.6
815615,USA,20,LAL,34,7.7,0.473,0.556,0.667,0,0,15.8
14796348,USA,29,IND,2544,14.7,0.528,0.212,0.104,2.5,1.2,17.3
5250000,Switzerland,33,UTA,806,15.9,0.591,0.35,0.225,3.2,1.3,16.4
1988520,USA,23,BOS,1980,15.4,0.524,0.499,0.188,2,0.7,20.5
10500000,USA,26,ORL,576,10.3,0.515,0.48,0.198,2.3,1.2,16.6
1785000,USA,19,OKC,728,7,0.532,0.692,0.063,1.6,1.2,10.3
2422560,USA,23,ATL,2359,12.3,0.544,0.463,0.184,1.7,1.5,21.7
3290000,USA,26,HOU,474,14.9,0.589,0.078,0.478,2.1,4.7,15.9
14000000,USA,32,MIN,2613,15.4,0.615,0.05,0.253,1.1,1.8,14.6
3152931,USA,24,PHO,2142,17.7,0.541,0.085,0.24,1.5,1.5,24.9
1471382,USA,25,PHI,1651,12.3,0.546,0.148,0.096,2.6,0.6,13.8
2028360,USA,20,IND,428,10.5,0.554,0.322,0.099,0.6,0.8,14.2
22471910,New Zealand,24,OKC,2390,20.8,0.628,0.003,0.397,1.9,2.9,16.7
815615,USA,22,MIL,728,9.5,0.513,0.44,0.126,2.1,1.3,14
34682550,USA,29,GSW,1631,28.2,0.675,0.58,0.35,2.4,0.4,31
3097800,USA,21,DET,1773,9.1,0.483,0.418,0.264,2.6,0.6,16.4
1524305,USA,24,BRK,2217,16,0.526,0.508,0.323,1.4,0.8,20.3
12236535,USA,26,NOP,127,6.8,0.385,0.563,0.125,1.5,0.6,13.2
1312611,Haiti,21,SAC,1240,14.3,0.513,0.111,0.258,1,3.7,21.1
815615,USA,23,LAC,1059,8.1,0.517,0.262,0.383,2.1,1.8,11.6
6000000,USA,27,ORL,1283,13.7,0.526,0.332,0.244,1.9,0.5,17.5
7692308,USA,32,GSW,1081,11.6,0.539,0.012,0.176,1.5,1.5,16.5
92160,USA,24,PHO,291,15.2,0.534,0.221,0.347,3.5,1.9,18.3
1524305,USA,25,BOS,686,10.2,0.506,0.387,0.17,1.8,0.2,15.5
2361360,USA,26,POR,1455,14.5,0.553,0.414,0.268,2.7,0.8,19.5
1577230,USA,25,TOT,385,14.4,0.5,0.147,0.229,1.2,0.7,22.3
20061729,Democratic Re_,28,TOR,2010,14.5,0.569,0.381,0.155,0.7,3.7,19.4
1291892,USA,23,BOS,1049,4,0.448,0.689,0.25,1,0.2,8.7
1524305,USA,28,TOT,537,9.5,0.475,0.5,0.238,0.8,0.6,24.6
74159,USA,28,DAL,8,-4.6,0.266,0,2,0,0,16.4
1794600,USA,23,LAC,817,11.1,0.526,0.251,0.222,1.3,0.9,15.5
1471382,Tunisia,31,DAL,729,17.8,0.644,0.022,0.482,1.5,8.2,12.8
19578455,USA,29,HOU,1725,12.6,0.592,0.706,0.194,0.7,1,14.4
28530608,USA,29,OKC,2801,25,0.528,0.194,0.339,2.5,0.6,34.3
21974719,France,25,UTA,1702,20.9,0.659,0,0.682,1.2,6.1,16.9
8406000,USA,31,SAS,1160,17.8,0.545,0.219,0.268,1.9,2.6,24.5
815615,USA,24,UTA,1052,10.4,0.521,0.412,0.267,1.7,1.2,14.8
1471382,USA,23,BRK,1811,17.3,0.55,0.074,0.436,1.6,1.7,22.6
4328000,USA,24,NYK,385,9.3,0.504,0.559,0.441,3.3,1.4,10
92160,USA,23,ORL,203,4.1,0.427,0.577,0.127,0.7,1.2,18
1312611,USA,26,MIA,258,12.4,0.623,0.484,0.094,1.6,0.7,12.3
2386864,USA,25,TOT,1576,14.4,0.545,0.447,0.162,1.4,0.6,24.6
13788500,USA,29,CHI,1690,14.7,0.552,0.022,0.14,0.4,2.8,20.4
16698103,USA,27,PHI,2408,12.8,0.562,0.656,0.162,2.6,2.2,17.5
14275000,Spain,27,UTA,2185,15,0.533,0.33,0.307,2.6,0.4,22.8
1471382,USA,24,PHI,668,16.8,0.566,0.144,0.236,1.3,3.2,16.7
2500000,USA,37,DEN,163,6.3,0.499,0.259,0.259,0.6,0.5,9.3
16000000,USA,27,DET,1084,15.5,0.516,0.294,0.231,1.1,0.3,27.4
2500000,USA,26,DET,1732,13.6,0.615,0.515,0.09,1.4,0.7,15.7
2328652,USA,33,OKC,1324,13.2,0.492,0.41,0.08,1.8,1,20.4
1471382,Brazil,25,UTA,478,12.3,0.554,0.313,0.224,1.2,0.7,18.3
1889040,USA,21,TOT,212,9.3,0.546,0.661,0.107,1.2,1.2,13.8
2328652,USA,31,TOT,391,10.8,0.473,0.224,0.483,1.8,0.4,19.2
3300000,USA,31,NOP,1591,14.9,0.519,0.303,0.094,1.8,0.5,16.8
100000,USA,24,GSW,597,13.4,0.6,0.41,0.102,0.9,0.1,17.7
3853931,USA,29,CHI,196,4,0.398,0.449,0.347,2,0.9,15
1709538,USA,27,BRK,1270,7.5,0.51,0.797,0.173,1.1,1.6,14.3
1312611,Germany,23,CHI,824,5.2,0.444,0.47,0.111,1.2,1.6,15.2
31269231,USA,32,DEN,1008,18.2,0.564,0.258,0.36,1.9,3.3,22.4
19508958,USA,27,OKC,2779,18.4,0.566,0.447,0.3,2.8,1.2,25.6
16000000,Spain,37,SAS,1753,19,0.54,0.189,0.331,0.6,3.7,20.7
10714286,Australia,29,SAS,2018,12.1,0.562,0.606,0.178,1.3,0.5,17.8
5192000,USA,28,OKC,1234,9.7,0.545,0.638,0.165,1.9,1.7,10.8
1312611,USA,22,GSW,961,7.4,0.477,0.356,0.151,2.2,0.8,12.8
5513514,USA,29,LAC,334,12.3,0.53,0.504,0.143,2.6,1.2,19.6
1471382,USA,25,POR,1432,9.3,0.535,0.542,0.113,0.7,1.2,13.5
1312611,Cameroon,23,TOR,1577,14.9,0.554,0.268,0.178,1.9,2,15.9
7590035,USA,32,HOU,2170,8.4,0.537,0.692,0.145,1.8,0.9,10.3
24773250,USA,24,WAS,2349,18.4,0.601,0.357,0.145,2.4,1.4,18.4
2106470,Israel,29,GSW,740,15.5,0.632,0.106,0.333,1.2,2,16.3
10595505,Turkey,31,NOP,121,4.5,0.423,0,0.75,0.4,1.3,9.4
1312611,USA,25,MIA,80,8.9,0.577,0.688,0.188,0.6,1.1,10.3
1645200,United Kingdo...,20,TOR,1389,9.5,0.575,0.565,0.183,1.8,0.6,12.3
1471382,USA,24,TOR,1003,8.4,0.496,0.489,0.11,1.6,1.2,18.9
3505233,USA,22,TOT,875,12.8,0.509,0.282,0.248,1.1,1.6,14.5
12250000,Montenegro,27,ORL,1619,19.7,0.536,0.25,0.115,1.6,2.9,25.9
12500000,Montenegro,26,TOT,1352,17.8,0.567,0.525,0.21,1.4,2.2,23.2
1471382,Serbia,22,DEN,2288,24.4,0.607,0.279,0.317,1.8,2.1,24.1
